,2018_Gangwon,2018_Gyeonggi,2018_Gyeongnam,2018_Gyeongbuk,2018_Gwangju,2018_Daegu,2018_Daejeon,2018_Busan,2018_Seoul,2018_Sejong,2018_Ulsan,2018_Incheon,2018_Jeonnam,2018_Jeonbuk,2018_Jeju,2018_Chungnam,2018_Chungbuk
2018_Gangwon,0.0,0.06043279293657797,0.039143298042440405,0.27190726312048996,0.3983864685923332,0.13530315922964162,0.09621376030586812,0.05381588805855087,0.30404247974558407,0.1375998885773238,0.057968013919909585,0.043365967039238985,0.5839014069244584,0.752208104293081,1.3265381364238675,0.011250369578997462,0.0756692039006194
2018_Gyeonggi,0.06043279293657797,0.0,0.016160980014646338,0.10393299733989089,0.34927731072271573,0.0671517231955654,0.0052997643444159005,0.0008450940084444342,0.09528710301783211,0.07706751179824223,0.004443500997329555,0.0013089139160609078,0.4296438081117216,0.5338657214265925,0.8302860985981008,0.018865029155334962,0.007885942391203018
2018_Gyeongnam,0.039143298042440405,0.016160980014646338,0.0,0.10075976152958728,0.49066980670159066,0.0326236276285568,0.039304989249208666,0.009643665309730275,0.18613848626636742,0.15087577380133066,0.005161546300364807,0.012253383440058947,0.6113287950720036,0.7448189559669066,1.0913561770763351,0.017042776514431764,0.044230209190252945
2018_Gyeongbuk,0.27190726312048996,0.10393299733989089,0.10075976152958728,0.0,0.7574923157123683,0.036136703170979126,0.10662415876420275,0.098446577813923,0.16539758677234237,0.31728196766117267,0.08174183881328459,0.12080832806420452,0.7812031941112949,0.8634977040453395,0.9071339418934015,0.18650536281712599,0.14914248204500566
2018_Gwangju,0.3983864685923332,0.34927731072271573,0.49066980670159066,0.7574923157123683,0.0,0.7378866742488013,0.30167822012290985,0.3808147709345847,0.2521878262980046,0.09226685338273108,0.4340713095769847,0.34856035689847864,0.03628940003179331,0.09113030229356875,0.5123812610982863,0.34879113715965027,0.2502456670587374
2018_Daegu,0.13530315922964162,0.0671517231955654,0.0326236276285568,0.036136703170979126,0.7378866742488013,0.0,0.09305474934218924,0.05548657912487842,0.23476856527102072,0.2888693951580234,0.03827643109555866,0.07021763613138697,0.8372611093041771,0.9655286831624241,1.1792518801377714,0.09679690454042633,0.11995386111489925
2018_Daejeon,0.09621376030586812,0.0052997643444159005,0.039304989249208666,0.10662415876420275,0.30167822012290985,0.09305474934218924,0.0,0.010049715603125398,0.05545953738432003,0.05771956856199077,0.017026491742243643,0.010748356686847281,0.35542151352877654,0.44178583654069586,0.6954262031627889,0.03935660581435274,0.003859935656456234
2018_Busan,0.05381588805855087,0.0008450940084444342,0.009643665309730275,0.098446577813923,0.3808147709345847,0.05548657912487842,0.010049715603125398,0.0,0.11209660244381225,0.09199405732048298,0.0016133790574427585,0.0011497683633470467,0.46936803029186513,0.5796949235053215,0.8839388541772195,0.016297895167619154,0.013555559760927975
2018_Seoul,0.30404247974558407,0.09528710301783211,0.18613848626636742,0.16539758677234237,0.2521878262980046,0.23476856527102072,0.05545953738432003,0.11209660244381225,0.0,0.08238475716238877,0.12782963729929175,0.11609022967392235,0.21701895799044352,0.24658214783159665,0.35288576682711126,0.18769628634419291,0.06764428272053528
2018_Sejong,0.1375998885773238,0.07706751179824223,0.15087577380133066,0.31728196766117267,0.09226685338273108,0.2888693951580234,0.05771956856199077,0.09199405732048298,0.08238475716238877,0.0,0.11801691200187767,0.07792984533542244,0.1464082400151144,0.22252323069033175,0.5798532742033935,0.08941067899072169,0.036106195061720345
2018_Ulsan,0.057968013919909585,0.004443500997329555,0.005161546300364807,0.08174183881328459,0.4340713095769847,0.03827643109555866,0.017026491742243643,0.0016133790574427585,0.12782963729929175,0.11801691200187767,0.0,0.0049144746454804706,0.5261830662099678,0.6406038664181135,0.9338676036142456,0.02118804551787816,0.024166139806762937
2018_Incheon,0.043365967039238985,0.0013089139160609078,0.012253383440058947,0.12080832806420452,0.34856035689847864,0.07021763613138697,0.010748356686847281,0.0011497683633470467,0.11609022967392235,0.07792984533542244,0.0049144746454804706,0.0,0.44299108639895957,0.5555618214634284,0.88709003621276,0.010198893993351207,0.010043207642897364
2018_Jeonnam,0.5839014069244584,0.4296438081117216,0.6113287950720036,0.7812031941112949,0.03628940003179331,0.8372611093041771,0.35542151352877654,0.46936803029186513,0.21701895799044352,0.1464082400151144,0.5261830662099678,0.44299108639895957,0.0,0.012364541158074234,0.27634309213532227,0.4830784118261543,0.31668695191758867
2018_Jeonbuk,0.752208104293081,0.5338657214265925,0.7448189559669066,0.8634977040453395,0.09113030229356875,0.9655286831624241,0.44178583654069586,0.5796949235053215,0.24658214783159665,0.22252323069033175,0.6406038664181135,0.5555618214634284,0.012364541158074234,0.0,0.17971669165516335,0.6191881464216145,0.40847264847657605
2018_Jeju,1.3265381364238675,0.8302860985981008,1.0913561770763351,0.9071339418934015,0.5123812610982863,1.1792518801377714,0.6954262031627889,0.8839388541772195,0.35288576682711126,0.5798532742033935,0.9338676036142456,0.88709003621276,0.27634309213532227,0.17971669165516335,0.0,1.0586069972207892,0.712703157823884
2018_Chungnam,0.011250369578997462,0.018865029155334962,0.017042776514431764,0.18650536281712599,0.34879113715965027,0.09679690454042633,0.03935660581435274,0.016297895167619154,0.18769628634419291,0.08941067899072169,0.02118804551787816,0.010198893993351207,0.4830784118261543,0.6191881464216145,1.0586069972207892,0.0,0.028547758341328142
2018_Chungbuk,0.0756692039006194,0.007885942391203018,0.044230209190252945,0.14914248204500566,0.2502456670587374,0.11995386111489925,0.003859935656456234,0.013555559760927975,0.06764428272053528,0.036106195061720345,0.024166139806762937,0.010043207642897364,0.31668695191758867,0.40847264847657605,0.712703157823884,0.028547758341328142,0.0
